Year,Biomass1,Biomass2,Biomass3,Biomass4,Biomass5,Biomass6,PctShade,ShadeClass,NumCohorts1,NumCohorts2,NumCohorts3,NumCohorts4,NumCohorts5,NumCohorts6,DeadWoodyBio
0,187,299,204,133,501,87,0,0,1,1,1,1,1,1,0
1,353,319,212,271,569,146,9.32110457581497,0,1,1,1,1,1,1,0
2,584,337,219,466,645,220,12.3168178646197,0,1,1,1,1,1,1,0
3,868,354,225,702,729,294,15.8109859435749,1,1,1,1,1,1,1,0
4,1190,370,231,953,822,520,20.3668627255508,1,1,1,1,1,1,1,98.249148541481
5,1519,385,237,1134,926,536,23.6118034094308,1,1,1,1,1,1,1,291.657693695767
6,1852,401,244,1170,1042,536,26.1439537433955,1,1,1,1,1,1,1,486.898784591348
7,2164,417,252,1171,1172,536,28.4717376133985,1,1,1,1,1,1,1,694.993018471239
8,2417,434,261,1171,1320,536,30.6001395673412,1,1,1,1,1,1,1,958.238073669708
9,2593,452,271,1171,1491,536,32.4693450304057,1,1,1,1,1,1,1,1258.83745218528
10,2703,472,283,1248,1982,586,34.1790449606221,1,1,1,1,2,2,2,1574.52250033628
11,2728,494,299,1258,2212,590,37.7878576413119,1,1,1,1,2,2,2,1869.87301425839
12,2738,518,318,1269,2486,594,39.4925730236268,2,1,1,1,2,2,2,2145.8127974499
13,2741,544,331,1280,2814,598,41.4116239657063,2,1,1,1,2,2,2,2400.14386320604
14,2741,574,336,1292,3208,602,43.6297477818762,2,1,1,1,2,2,2,2623.08646214363
15,2741,608,341,1304,3681,606,46.261589073871,2,1,1,1,2,2,2,2816.35228294415
16,2741,648,344,1316,4244,610,49.3619778686073,3,1,1,1,2,2,2,2981.07517644134
17,2741,696,346,1328,4904,614,52.9807596451002,3,1,1,1,2,2,2,3118.64442112133
18,2741,752,348,1339,5655,618,57.0880271159406,3,1,1,1,2,2,2,3254.17320359596
19,2741,789,349,1349,6473,622,61.4245837902502,3,1,1,1,2,2,2,3392.54280256948
20,2741,789,421,1359,7310,656,65.6714186023328,4,1,1,2,2,2,3,3605.98043479553
21,2741,789,423,1368,8094,661,70.1624962615891,4,1,1,2,2,2,3,3948.21213672526
22,2741,789,428,1379,8790,666,73.7364171069684,4,1,1,2,2,2,3,4411.39374952975
23,2741,789,437,1391,9382,676,76.8417904496062,4,1,1,2,2,2,3,4968.24774379429
24,2741,790,449,1404,9878,694,79.5334463164191,4,1,1,2,2,2,3,5595.06213561311
25,2741,794,460,1417,10294,720,81.8761838301266,4,1,1,2,2,2,3,6272.59857315305
26,2741,801,471,1431,10649,750,83.9547403050543,4,1,1,2,2,2,3,6985.29664670576
27,2741,811,482,1446,10956,782,85.8239457681188,4,1,1,2,2,2,3,7721.62919725057
28,2741,823,494,1462,11227,816,87.5436147941382,4,1,1,2,2,2,3,8472.87750833771
29,2741,836,506,1480,11471,850,89.1436546705214,5,1,1,2,2,2,3,9232.28141872367
30,2741,920,518,1499,11693,904,90.6440035888745,5,1,2,2,2,2,4,9992.30856294093
31,2741,934,530,1519,11895,936,92.4882863124315,5,1,2,2,2,2,4,10750.0359310533
32,2741,948,542,1540,12085,967,93.8241451500349,5,1,2,2,2,2,4,11502.0679616551
33,2741,962,554,1562,12264,997,95.1051739607218,5,1,2,2,2,2,4,12251.549676206
34,2741,976,566,1584,12428,1025,96.301465457083,5,1,2,2,2,2,4,13011.0988704749
35,2741,990,578,1608,12567,1052,97.3781278038082,5,1,2,2,2,2,4,13779.0339431069
36,2741,1005,591,1633,12678,1079,98.3301764529957,5,1,2,2,2,2,4,14534.8061441746
37,2741,1020,604,1659,12780,1107,99.2473332668727,5,1,2,2,2,2,4,15282.410755247
38,2741,1034,617,1685,12871,1134,100,5,1,2,2,2,2,4,16019.3313840716
39,2741,1048,630,1712,12953,1160,100,5,1,2,2,2,2,4,16745.1424798302
40,2741,1120,643,1739,13028,1202,100,5,1,3,2,2,2,5,17454.4986479371
41,2741,1133,656,1766,13092,1226,100,5,1,3,2,2,2,5,18152.2340821171
