Year,Biomass1,Biomass2,Biomass3,Biomass4,Biomass5,Biomass6,PctShade,ShadeClass,NumCohorts1,NumCohorts2,NumCohorts3,NumCohorts4,NumCohorts5,NumCohorts6,DeadWoodyBio
0,187,299,204,133,501,87,0,0,1,1,1,1,1,1,0
1,353,319,212,271,569,146,9.32110457581497,0,1,1,1,1,1,1,0
2,584,337,219,466,645,220,12.3168178646197,0,1,1,1,1,1,1,0
3,868,354,225,702,729,294,15.8109859435749,1,1,1,1,1,1,1,0
4,1190,370,231,953,822,520,20.3668627255508,1,1,1,1,1,1,1,98.249148541481
5,1519,385,237,1134,926,536,23.6118034094308,1,1,1,1,1,1,1,291.657693695767
6,1852,401,244,1170,1042,536,26.1439537433955,1,1,1,1,1,1,1,486.898784591348
7,2164,417,252,1171,1172,536,28.4717376133985,1,1,1,1,1,1,1,694.993018471239
8,2417,434,261,1171,1320,536,30.6001395673412,1,1,1,1,1,1,1,958.238073669708
9,2593,452,271,1171,1491,536,32.4693450304057,1,1,1,1,1,1,1,1258.83745218528
10,2811,645,283,1248,1692,586,34.1790449606221,1,2,2,1,2,1,2,1573.94120941556
11,2856,669,299,1257,1916,590,37.817764928721,1,2,2,1,2,1,2,1868.51639264432
12,2887,696,318,1267,2183,594,39.6022330774599,2,2,2,1,2,1,2,2144.17194661501
13,2911,726,330,1278,2503,598,41.6010367859635,2,2,2,1,2,1,2,2395.44578889785
14,2934,760,335,1289,2888,602,43.903897916459,2,2,2,1,2,1,2,2614.75987621514
15,2956,799,339,1300,3349,606,46.6005383311734,2,2,2,1,2,1,2,2804.83567506751
16,2975,846,342,1311,3898,610,49.7557571528262,3,2,2,1,2,1,2,2969.92659260975
17,2990,904,344,1322,4540,614,53.4044462167281,3,2,2,1,2,1,2,3110.64253089948
18,3002,977,346,1333,5271,618,57.5565746186821,3,2,2,1,2,1,2,3266.34625756687
19,3011,1018,347,1343,6064,622,61.8333167181737,3,2,2,1,2,1,2,3410.15880843676
20,3020,1133,349,1353,6875,656,66.0602133386502,4,2,3,1,2,1,3,3634.05650797026
21,3028,1149,351,1362,7628,660,70.6709201475426,4,2,3,1,2,1,3,3971.64486201412
22,3042,1168,355,1372,8293,664,74.2398564450204,4,2,3,1,2,1,3,4420.31254694276
23,3061,1189,363,1383,8853,672,77.3651679792643,4,2,3,1,2,1,3,4961.67934395415
24,3083,1211,373,1395,9316,688,80.0817465855847,4,2,3,1,2,1,3,5571.45306000941
25,3106,1236,384,1407,9698,711,82.4543913867012,4,2,3,1,2,1,3,6230.50047215024
26,3131,1265,395,1419,10015,738,84.552886053235,4,2,3,1,2,1,3,6923.11472436012
27,3157,1296,406,1433,10282,767,86.437045160004,4,2,3,1,2,1,3,7637.84788543805
28,3184,1329,417,1448,10509,797,88.1467450902203,4,2,3,1,2,1,3,8365.98143548902
29,3211,1363,428,1464,10704,827,89.7069085833915,5,2,3,1,2,1,3,9101.03591302326
30,3239,1468,440,1481,10873,858,91.1673811185325,5,2,4,1,2,1,3,9836.59213578253
31,3267,1506,452,1498,11015,888,92.8421892134383,5,2,4,1,2,1,3,10569.5470059305
32,3295,1544,464,1517,11140,917,94.0933107367162,5,2,4,1,2,1,3,11296.9035469204
33,3323,1583,476,1536,11251,945,95.2746485893729,5,2,4,1,2,1,3,12016.3573022589
34,3351,1623,488,1555,11349,972,96.3911873193101,5,2,4,1,2,1,3,12726.5894143484
35,3378,1663,500,1576,11436,998,97.4528960223308,5,2,4,1,2,1,3,13427.0805159525
36,3404,1704,512,1597,11513,1023,98.4597746984349,5,2,4,1,2,1,3,14116.4477155795
37,3430,1744,524,1618,11581,1046,99.4068387997209,5,2,4,1,2,1,3,14794.4815260967
38,3455,1784,537,1640,11641,1068,100,5,2,4,1,2,1,3,15460.4831585414
39,3479,1823,550,1662,11694,1090,100,5,2,4,1,2,1,3,16114.0190681132
40,3502,1862,563,1684,11741,1111,100,5,2,4,1,2,1,3,16754.6656007595
