Year,Biomass1,Biomass2,Biomass3,Biomass4,Biomass5,Biomass6,PctShade,ShadeClass,NumCohorts1,NumCohorts2,NumCohorts3,NumCohorts4,NumCohorts5,NumCohorts6,DeadWoodyBio
0,187,299,204,133,501,87,0,0,1,1,1,1,1,1,0
1,353,319,212,271,569,146,9.32110457581497,0,1,1,1,1,1,1,0
2,584,337,219,466,645,220,12.3168178646197,0,1,1,1,1,1,1,0
3,868,354,225,702,729,294,15.8109859435749,1,1,1,1,1,1,1,0
4,1190,370,231,953,822,520,20.3668627255508,1,1,1,1,1,1,1,98.249148541481
5,1519,385,237,1134,926,536,23.6118034094308,1,1,1,1,1,1,1,291.657693695767
6,1852,401,244,1170,1042,536,26.1439537433955,1,1,1,1,1,1,1,486.898784591348
7,2164,417,252,1171,1172,536,28.4717376133985,1,1,1,1,1,1,1,694.993018471239
8,2417,434,261,1171,1320,536,30.6001395673412,1,1,1,1,1,1,1,958.238073669708
9,2593,452,271,1171,1491,536,32.4693450304057,1,1,1,1,1,1,1,1258.83745218528
10,2703,472,401,1248,1692,536,34.1790449606221,1,1,1,2,2,1,1,1575.4294459253
11,2745,493,420,1258,1923,536,36.7610407736018,1,1,1,2,2,1,1,1879.24140160014
12,2764,516,444,1268,2200,536,38.5205861828332,2,1,1,2,2,1,1,2160.31533986142
13,2770,542,470,1279,2534,536,40.5293589871399,2,1,1,2,2,1,1,2428.54531340686
14,2771,571,483,1291,2937,536,42.8122819260293,2,1,1,2,2,1,1,2663.33181909697
15,2771,604,496,1303,3423,536,45.5238759844482,2,1,1,2,2,1,1,2866.75713705726
16,2771,643,508,1315,4004,536,48.7339248330176,3,1,1,2,2,1,1,3040.00233562154
17,2771,690,519,1327,4686,536,52.4823048549497,3,1,1,2,2,1,1,3184.6010378514
18,2771,746,529,1338,5462,536,56.7341242149337,3,1,1,2,2,1,1,3319.80328408833
19,2771,788,537,1348,6302,536,61.2202173262885,3,1,1,2,2,1,1,3467.39000497812
20,2771,788,545,1358,7154,536,65.5567740005982,3,1,1,2,2,1,1,3702.48924524617
21,2771,788,554,1368,7957,536,69.6540723756355,4,1,1,2,2,1,1,4072.2382263142
22,2771,788,566,1379,8662,537,73.2878077958329,4,1,1,2,2,1,1,4564.80118556946
23,2771,788,581,1391,9256,544,76.4181038779783,4,1,1,2,2,1,1,5150.92310978478
24,2771,791,598,1403,9748,561,79.1147442926926,4,1,1,2,2,1,1,5808.1101614133
25,2771,797,615,1416,10157,586,81.4574818064002,4,1,1,2,2,1,1,6516.46560848691
26,2771,806,632,1430,10500,615,83.5111155418204,4,1,1,2,2,1,1,7260.41738038192
27,2771,818,649,1446,10792,647,85.3504137174758,4,1,1,2,2,1,1,8028.75202867005
28,2771,832,666,1463,11043,680,87.0052836207756,4,1,1,2,2,1,1,8812.86667748533
29,2771,847,683,1482,11261,713,88.5106170870302,4,1,1,2,2,1,1,9606.32834782629
30,2771,863,700,1503,11453,766,89.9013059515502,5,1,1,2,2,1,2,10403.6963279741
31,2771,880,717,1525,11621,798,91.2770411723657,5,1,1,2,2,1,2,11201.5926953938
32,2771,897,735,1548,11771,828,92.4633635729239,5,1,1,2,2,1,2,11996.6160362303
33,2771,914,753,1572,11906,857,93.5749177549596,5,1,1,2,2,1,2,12786.4666716467
34,2771,930,771,1597,12028,885,94.6166882663742,5,1,1,2,2,1,2,13569.1746020579
35,2771,946,789,1623,12138,911,95.5936596550693,5,1,1,2,2,1,2,14343.0808006172
36,2771,962,807,1649,12238,936,96.5158010168478,5,1,1,2,2,1,2,15106.9004066544
37,2771,977,825,1676,12329,959,97.3831123517097,5,1,1,2,2,1,2,15859.432595966
38,2771,992,844,1703,12412,981,98.2105473033596,5,1,1,2,2,1,2,16599.8014352368
39,2771,1007,863,1731,12488,1002,99.0030904196989,5,1,1,2,2,1,2,17327.2754485866
40,2771,1081,882,1759,12558,1039,99.7557571528262,5,1,2,2,2,1,3,18036.3364411314
41,2771,1095,902,1787,12618,1057,100,5,1,2,2,2,1,3,18731.9519056795
