Year,Biomass1,Biomass2,Biomass3,Biomass4,Biomass5,Biomass6,PctShade,ShadeClass,NumCohorts1,NumCohorts2,NumCohorts3,NumCohorts4,NumCohorts5,NumCohorts6,DeadWoodyBio
0,187,299,204,133,501,87,0,0,1,1,1,1,1,1,0
1,353,319,212,271,569,146,9.32110457581497,0,1,1,1,1,1,1,0
2,584,337,219,466,645,220,12.3168178646197,0,1,1,1,1,1,1,0
3,868,354,225,702,729,294,15.8109859435749,1,1,1,1,1,1,1,0
4,1190,370,231,953,822,520,20.3668627255508,1,1,1,1,1,1,1,98.249148541481
5,1519,385,237,1134,926,536,23.6118034094308,1,1,1,1,1,1,1,291.657693695767
6,1852,401,244,1170,1042,536,26.1439537433955,1,1,1,1,1,1,1,486.898784591348
7,2164,417,252,1171,1172,536,28.4717376133985,1,1,1,1,1,1,1,694.993018471239
8,2417,434,261,1171,1320,536,30.6001395673412,1,1,1,1,1,1,1,958.238073669708
9,2593,452,271,1171,1491,536,32.4693450304057,1,1,1,1,1,1,1,1258.83745218528
10,2703,472,401,1248,1692,586,34.1790449606221,1,1,1,2,2,1,2,1575.24143658456
11,2741,493,420,1258,1922,590,37.0052836207756,1,1,1,2,2,1,2,1876.9367884919
12,2758,517,444,1268,2197,594,38.7698135779085,2,1,1,2,2,1,2,2155.07813184366
13,2763,543,469,1279,2528,598,40.7736018343136,2,1,1,2,2,1,2,2419.44136603248
14,2763,572,482,1291,2927,602,43.0515402253016,2,1,1,2,2,1,2,2650.56482650577
15,2763,606,495,1303,3408,606,45.7631342837205,2,1,1,2,2,1,2,2850.61921031692
16,2763,645,507,1315,3982,610,48.9582294885854,3,1,1,2,2,1,2,3020.88697512321
17,2763,692,518,1327,4655,614,52.6816867710099,3,1,1,2,2,1,2,3162.89802416511
18,2763,748,528,1338,5420,618,56.8986142956834,3,1,1,2,2,1,2,3298.55607419349
19,2763,788,536,1348,6249,622,61.3398464759246,3,1,1,2,2,1,2,3441.81245362209
20,2763,788,544,1358,7092,626,65.6514804107267,3,1,1,2,2,1,2,3669.84612011925
21,2763,788,552,1367,7888,630,69.7238560462566,4,1,1,2,2,1,2,4030.74200980272
22,2763,788,563,1378,8589,635,73.3526069185525,4,1,1,2,2,1,2,4514.46116260995
23,2763,788,578,1390,9180,645,76.4829030006978,4,1,1,2,2,1,2,5091.95839588438
24,2763,790,595,1402,9670,665,79.1795434154122,4,1,1,2,2,1,2,5740.50250277534
25,2763,795,613,1415,10077,693,81.5272654770212,4,1,1,2,2,1,2,6440.42481193445
26,2763,804,630,1429,10418,725,83.5858837603429,4,1,1,2,2,1,2,7176.05437599745
27,2763,816,647,1445,10708,759,85.4251819359984,4,1,1,2,2,1,2,7935.83081975847
28,2763,829,664,1462,10957,795,87.0800518392982,4,1,1,2,2,1,2,8711.3247743662
29,2763,844,681,1480,11174,831,88.5903698534543,4,1,1,2,2,1,2,9496.10856906386
30,2763,930,698,1500,11364,887,89.9810587179743,5,1,2,2,2,1,3,10282.7007381174
31,2763,946,715,1521,11525,921,91.6708204565846,5,1,2,2,2,1,3,11068.917315727
32,2763,962,732,1544,11669,954,92.8322201176353,5,1,2,2,2,1,3,11851.7449383038
33,2763,978,750,1567,11798,986,93.9188515601635,5,1,2,2,2,1,3,12628.8344004414
34,2763,994,768,1591,11915,1016,94.9406838799721,5,1,2,2,2,1,3,13398.2902714402
35,2763,1009,786,1616,12021,1045,95.9027016249626,5,1,2,2,2,1,3,14158.5757938354
36,2763,1024,804,1641,12117,1073,96.8098893430366,5,1,2,2,2,1,3,14908.4846867953
37,2763,1039,822,1667,12204,1099,97.6672315820955,5,1,2,2,2,1,3,15646.801571288
38,2763,1053,840,1693,12284,1124,98.4797128900409,5,1,2,2,2,1,3,16372.8540612308
39,2763,1067,859,1720,12357,1149,99.2672714584787,5,1,2,2,2,1,3,17085.785086818
40,2763,1080,879,1747,12423,1190,100,5,1,2,2,2,1,4,17783.8771853121
41,2763,1093,899,1774,12483,1213,100,5,1,2,2,2,1,4,18468.0472393207
