Year,Biomass1,Biomass2,Biomass3,Biomass4,Biomass5,Biomass6,PctShade,ShadeClass,NumCohorts1,NumCohorts2,NumCohorts3,NumCohorts4,NumCohorts5,NumCohorts6,DeadWoodyBio
0,187,299,204,133,501,87,0,0,1,1,1,1,1,1,0
1,353,319,212,271,569,146,9.32110457581497,0,1,1,1,1,1,1,0
2,584,337,219,466,645,220,12.3168178646197,0,1,1,1,1,1,1,0
3,868,354,225,702,729,294,15.8109859435749,1,1,1,1,1,1,1,0
4,1190,370,231,953,822,520,20.3668627255508,1,1,1,1,1,1,1,98.249148541481
5,1519,385,237,1134,926,536,23.6118034094308,1,1,1,1,1,1,1,291.657693695767
6,1852,401,244,1170,1042,536,26.1439537433955,1,1,1,1,1,1,1,486.898784591348
7,2164,417,252,1171,1172,536,28.4717376133985,1,1,1,1,1,1,1,694.993018471239
8,2417,434,261,1171,1320,536,30.6001395673412,1,1,1,1,1,1,1,958.238073669708
9,2593,452,271,1171,1491,536,32.4693450304057,1,1,1,1,1,1,1,1258.83745218528
10,2703,645,283,1248,1692,586,34.1790449606221,1,1,2,1,2,1,2,1575.22375144354
11,2737,669,298,1258,1920,590,37.2445419200479,1,1,2,1,2,1,2,1875.04379658747
12,2752,696,316,1268,2193,594,38.9741800418702,2,1,2,1,2,1,2,2151.95766778431
13,2756,726,333,1279,2521,598,40.9380919150633,2,1,2,1,2,1,2,2413.56347637842
14,2756,759,338,1290,2917,602,43.1761539228392,2,1,2,1,2,1,2,2642.67507598801
15,2756,798,343,1302,3394,606,45.8528561459476,2,1,2,1,2,1,2,2841.21107996442
16,2756,843,347,1314,3963,610,49.0130595155019,3,1,2,1,2,1,2,3010.373059427
17,2756,899,350,1326,4631,614,52.7165786063204,3,1,2,1,2,1,2,3151.47981933009
18,2756,971,352,1337,5391,618,56.9484597746984,3,1,2,1,2,1,2,3293.35426654588
19,2756,1022,353,1347,6215,622,61.3847074070382,3,1,2,1,2,1,2,3440.65808264484
20,2756,1033,354,1357,7053,626,65.6913567939388,3,1,2,1,2,1,2,3670.71739556907
21,2756,1044,356,1367,7846,630,69.7786860731732,4,1,2,1,2,1,2,4027.59404404054
22,2756,1058,361,1378,8544,635,73.4323596849766,4,1,2,1,2,1,2,4504.79194783329
23,2756,1075,370,1390,9132,645,76.602532150334,4,1,2,1,2,1,2,5076.48459743467
24,2756,1094,381,1402,9618,664,79.3290798524574,4,1,2,1,2,1,2,5718.77313190049
25,2756,1116,392,1415,10021,691,81.7017246535739,4,1,2,1,2,1,2,6412.27068710004
26,2756,1142,404,1429,10358,722,83.7952347722062,4,1,2,1,2,1,2,7141.09404120129
27,2756,1171,416,1445,10643,756,85.6694247831722,4,1,2,1,2,1,2,7893.74489349373
28,2756,1203,428,1462,10887,791,87.364171069684,4,1,2,1,2,1,2,8661.4608380713
29,2756,1236,440,1480,11098,826,88.9043963712491,5,1,2,1,2,1,2,9437.65138455354
30,2756,1271,452,1500,11282,860,90.3249925231782,5,1,2,1,2,1,2,10217.2259277037
31,2756,1308,464,1521,11444,894,91.6508822649786,5,1,2,1,2,1,2,10996.4081635663
32,2756,1346,476,1543,11588,927,92.8920346924534,5,1,2,1,2,1,2,11772.10947715
33,2756,1384,489,1566,11716,958,94.0534343535041,5,1,2,1,2,1,2,12541.5905242168
34,2756,1422,502,1589,11831,988,95.1450503439338,5,1,2,1,2,1,2,13302.9057963313
35,2756,1461,515,1613,11934,1016,96.1768517595454,5,1,2,1,2,1,2,14054.2459516111
36,2756,1501,528,1637,12027,1043,97.158807696142,5,1,2,1,2,1,2,14794.3433026259
37,2756,1540,541,1662,12111,1069,98.0909181537235,5,1,2,1,2,1,2,15522.1327038234
38,2756,1580,554,1687,12186,1093,98.9731831322899,5,1,2,1,2,1,2,16236.940233227
39,2756,1619,567,1712,12254,1117,99.8155717276443,5,1,2,1,2,1,2,16938.8868347309
40,2756,1658,581,1738,12315,1157,100,5,1,2,1,2,1,3,17626.1676637105
