Year,Biomass1,Biomass2,Biomass3,Biomass4,Biomass5,Biomass6,PctShade,ShadeClass,NumCohorts1,NumCohorts2,NumCohorts3,NumCohorts4,NumCohorts5,NumCohorts6,DeadWoodyBio
0,187,299,204,133,501,87,0,0,1,1,1,1,1,1,0
1,353,319,212,271,569,146,9.32110457581497,0,1,1,1,1,1,1,0
2,584,337,219,466,645,220,12.3168178646197,0,1,1,1,1,1,1,0
3,868,354,225,702,729,294,15.8109859435749,1,1,1,1,1,1,1,0
4,1190,370,231,953,822,520,20.3668627255508,1,1,1,1,1,1,1,98.249148541481
5,1519,385,237,1134,926,536,23.6118034094308,1,1,1,1,1,1,1,291.657693695767
6,1852,401,244,1170,1042,536,26.1439537433955,1,1,1,1,1,1,1,486.898784591348
7,2164,417,252,1171,1172,536,28.4717376133985,1,1,1,1,1,1,1,694.993018471239
8,2417,434,261,1171,1320,536,30.6001395673412,1,1,1,1,1,1,1,958.238073669708
9,2593,452,271,1171,1491,536,32.4693450304057,1,1,1,1,1,1,1,1258.83745218528
10,2703,472,283,1248,1692,536,34.1790449606221,1,1,1,1,2,1,1,1574.64228077229
11,2757,493,297,1258,1928,536,36.2326786960423,1,1,1,1,2,1,1,1882.72646976072
12,2783,516,314,1269,2211,536,38.0271159405842,2,1,1,1,2,1,1,2170.94640941655
13,2792,542,334,1280,2553,536,40.0608114843984,2,1,1,1,2,1,1,2446.92306417197
14,2794,571,340,1292,2967,536,42.3686571627953,2,1,1,1,2,1,1,2689.22970390328
15,2794,604,346,1304,3467,536,45.1151430565248,2,1,1,1,2,1,1,2899.45360047602
16,2794,643,350,1316,4065,536,48.3700528362078,3,1,1,1,2,1,1,3078.67265532599
17,2794,689,353,1328,4768,536,52.1782474329578,3,1,1,1,2,1,1,3228.49213851305
18,2794,745,355,1340,5567,536,56.509819559366,3,1,1,1,2,1,1,3364.92967234577
19,2794,790,356,1351,6429,536,61.0906190808494,3,1,1,1,2,1,1,3518.63752711555
20,2794,790,428,1361,7298,566,65.4770212341741,4,1,1,2,2,1,2,3773.56719587795
21,2794,790,431,1371,8096,567,70.0279134682484,4,1,1,2,2,1,2,4164.66720188874
22,2794,790,438,1382,8792,569,73.5968497657262,4,1,1,2,2,1,2,4675.59900124343
23,2794,790,449,1394,9376,579,76.672315820955,4,1,1,2,2,1,2,5276.59205102045
24,2794,793,461,1407,9860,599,79.3240953045559,4,1,1,2,2,1,2,5946.60039331848
25,2794,800,473,1420,10263,626,81.6269564350513,4,1,1,2,2,1,2,6665.68139865944
26,2794,810,485,1434,10602,658,83.655667430964,4,1,1,2,2,1,2,7419.20344667674
27,2794,823,497,1450,10891,692,85.470042867112,4,1,1,2,2,1,2,8196.1513081843
28,2794,838,509,1468,11140,727,87.1099591267072,4,1,1,2,2,1,2,8988.27465895084
29,2794,854,521,1488,11357,762,88.6053234971588,4,1,1,2,2,1,2,9789.29304884822
30,2794,871,533,1509,11666,816,89.9760741700728,5,1,1,2,2,2,3,10590.3073339626
31,2794,888,545,1531,11828,848,91.8851560163493,5,1,1,2,2,2,3,11390.6086299075
32,2794,905,558,1555,11974,879,93.036586581597,5,1,1,2,2,2,3,12186.872024838
33,2794,922,571,1579,12106,909,94.1132489283222,5,1,1,2,2,2,3,12977.021848555
34,2794,938,584,1605,12227,937,95.1300967002293,5,1,1,2,2,2,3,13759.1306058314
35,2794,954,597,1631,12337,964,96.0871298973183,5,1,1,2,2,2,3,14531.7863826964
36,2794,970,610,1657,12437,989,96.9843485195893,5,1,1,2,2,2,3,15293.6070444697
37,2794,985,623,1684,12530,1013,97.8416907586482,5,1,1,2,2,2,3,16043.6582456727
38,2794,1000,637,1711,12615,1036,98.6591566144951,5,1,1,2,2,2,3,16781.0373019415
39,2794,1014,651,1739,12693,1057,99.4317615392284,5,1,1,2,2,2,3,17504.9514584234
40,2794,1088,665,1767,12766,1094,100,5,1,2,2,2,2,4,18209.8516287572
41,2794,1101,679,1795,12830,1113,100,5,1,2,2,2,2,4,18901.0512423438
