Year,Biomass1,Biomass2,Biomass3,Biomass4,Biomass5,Biomass6,PctShade,ShadeClass,NumCohorts1,NumCohorts2,NumCohorts3,NumCohorts4,NumCohorts5,NumCohorts6,DeadWoodyBio
0,187,299,204,133,501,87,0,0,1,1,1,1,1,1,0
1,353,319,212,271,569,146,9.32110457581497,0,1,1,1,1,1,1,0
2,584,337,219,466,645,220,12.3168178646197,0,1,1,1,1,1,1,0
3,868,354,225,702,729,294,15.8109859435749,1,1,1,1,1,1,1,0
4,1190,370,231,953,822,520,20.3668627255508,1,1,1,1,1,1,1,98.249148541481
5,1519,385,237,1134,926,536,23.6118034094308,1,1,1,1,1,1,1,291.657693695767
6,1852,401,244,1170,1042,536,26.1439537433955,1,1,1,1,1,1,1,486.898784591348
7,2164,417,252,1171,1172,536,28.4717376133985,1,1,1,1,1,1,1,694.993018471239
8,2417,434,261,1171,1320,536,30.6001395673412,1,1,1,1,1,1,1,958.238073669708
9,2593,452,271,1171,1491,536,32.4693450304057,1,1,1,1,1,1,1,1258.83745218528
10,2811,472,401,1248,1692,586,34.1790449606221,1,2,1,2,2,1,2,1574.4509533702
11,2859,493,422,1258,1918,590,37.5834911773502,1,2,1,2,2,1,2,1871.02902226886
12,2892,517,448,1268,2188,594,39.4128202572027,2,2,1,2,2,1,2,2146.7259978771
13,2917,543,469,1279,2511,598,41.4564848968199,2,2,1,2,2,1,2,2400.64009132215
14,2940,573,482,1290,2899,602,43.7942378626259,2,2,1,2,2,1,2,2621.80403950905
15,2962,607,494,1302,3364,606,46.5307546605523,2,2,1,2,2,1,2,2813.0414486362
16,2981,647,505,1314,3917,610,49.7158807696142,3,2,1,2,2,1,2,2978.96366445492
17,2997,695,515,1325,4564,614,53.3845080251221,3,2,1,2,2,1,2,3120.51848804102
18,3009,751,524,1336,5300,618,57.5117136875685,3,2,1,2,2,1,2,3269.39466564383
19,3018,781,532,1346,6098,622,61.7934403349616,3,2,1,2,2,1,2,3408.77056358316
20,3027,781,541,1356,6914,656,66.0203369554381,4,2,1,2,2,1,3,3627.73087198566
21,3035,781,548,1365,7685,661,70.1575117136876,4,2,1,2,2,1,3,3967.42333512394
22,3048,781,559,1375,8367,666,73.7513707506729,4,2,1,2,2,1,3,4422.97893938741
23,3067,781,573,1386,8943,676,76.8916359286213,4,2,1,2,2,1,3,4973.0759409433
24,3089,783,589,1398,9420,694,79.6181836307447,4,2,1,2,2,1,3,5593.53884302439
25,3113,788,606,1410,9815,719,82.0007975276642,4,2,1,2,2,1,3,6264.81073222813
26,3138,795,622,1423,10144,748,84.089323098395,4,2,1,2,2,1,3,6970.9765254244
27,3164,805,638,1437,10422,780,85.963513109361,4,2,1,2,2,1,3,7700.70941287501
28,3191,817,655,1453,10659,813,87.6682284916758,4,2,1,2,2,1,3,8445.06019891821
29,3219,830,672,1470,10863,846,89.2234074369455,5,2,1,2,2,1,3,9197.37807582858
30,3247,914,689,1488,11041,879,90.658957232579,5,2,2,2,2,1,3,9951.14137824232
31,3276,929,706,1507,11192,911,92.3188116837803,5,2,2,2,2,1,3,10703.2753908469
32,3305,943,723,1527,11325,942,93.5350413717476,5,2,2,2,2,1,3,11450.7544255964
33,3334,957,740,1547,11443,972,94.6715182932908,5,2,2,2,2,1,3,12191.261037564
34,3363,971,757,1568,11549,1001,95.7481806400159,5,2,2,2,2,1,3,12923.0785966414
35,3391,985,774,1590,11644,1028,96.7600438640215,5,2,2,2,2,1,3,13646.1305726591
36,3419,999,792,1613,11729,1054,97.7270461569136,5,2,2,2,2,1,3,14358.8665312101
37,3446,1012,810,1636,11805,1079,98.6342338749875,5,2,2,2,2,1,3,15060.3671173742
38,3472,1025,828,1659,11873,1103,99.4915761140465,5,2,2,2,2,1,3,15749.8536456148
39,3497,1038,847,1683,11934,1126,100,5,2,2,2,2,1,3,16426.5869206536
40,3521,1050,866,1707,11989,1166,100,5,2,2,2,2,1,4,17088.9847725792
41,3544,1062,885,1731,12037,1188,100,5,2,2,2,2,1,4,17737.794311399
