Year,Biomass1,Biomass2,Biomass3,Biomass4,Biomass5,Biomass6,PctShade,ShadeClass,NumCohorts1,NumCohorts2,NumCohorts3,NumCohorts4,NumCohorts5,NumCohorts6,DeadWoodyBio
0,187,299,204,133,501,87,0,0,1,1,1,1,1,1,0
1,353,319,212,271,569,146,9.32110457581497,0,1,1,1,1,1,1,0
2,584,337,219,466,645,220,12.3168178646197,0,1,1,1,1,1,1,0
3,868,354,225,702,729,294,15.8109859435749,1,1,1,1,1,1,1,0
4,1190,370,231,953,822,520,20.3668627255508,1,1,1,1,1,1,1,98.249148541481
5,1519,385,237,1134,926,536,23.6118034094308,1,1,1,1,1,1,1,291.657693695767
6,1852,401,244,1170,1042,536,26.1439537433955,1,1,1,1,1,1,1,486.898784591348
7,2164,417,252,1171,1172,536,28.4717376133985,1,1,1,1,1,1,1,694.993018471239
8,2417,434,261,1171,1320,536,30.6001395673412,1,1,1,1,1,1,1,958.238073669708
9,2593,452,271,1171,1491,536,32.4693450304057,1,1,1,1,1,1,1,1258.83745218528
10,2703,472,401,1171,1692,536,34.1790449606221,1,1,1,2,1,1,1,1575.17886871992
11,2753,493,419,1171,1926,536,36.3772305851859,1,1,1,2,1,1,1,1882.14417212605
12,2777,516,442,1171,2208,536,38.1317914465158,2,1,1,2,1,1,1,2168.7225631542
13,2785,542,469,1171,2548,536,40.1305951550194,2,1,1,2,1,1,1,2443.22931598028
14,2786,571,483,1171,2959,536,42.3985644502044,2,1,1,2,1,1,1,2684.47637536968
15,2786,604,497,1171,3456,536,45.1101585086233,2,1,1,2,1,1,1,2894.07342255604
16,2786,643,509,1171,4051,536,48.3301764529957,3,1,1,2,1,1,1,3073.02851499981
17,2786,689,520,1171,4751,536,52.1034792144353,3,1,1,2,1,1,1,3222.88137000162
18,2786,744,530,1171,5547,536,56.3951749576313,3,1,1,2,1,1,1,3358.04269951635
19,2786,790,538,1171,6408,536,60.9560362875087,3,1,1,2,1,1,1,3514.36008726058
20,2786,790,546,1171,7279,566,65.3374538929319,3,1,1,2,1,1,2,3764.27227930113
21,2786,790,555,1171,8091,567,69.5842887050145,4,1,1,2,1,1,2,4151.06383083318
22,2786,790,567,1171,8802,569,73.1980859336058,4,1,1,2,1,1,2,4660.38702513683
23,2786,790,583,1171,9399,579,76.3034592762436,4,1,1,2,1,1,2,5262.1236729833
24,2786,793,600,1171,9895,600,78.980161499352,4,1,1,2,1,1,2,5935.19741340945
25,2786,800,617,1171,10308,628,81.297976273552,4,1,1,2,1,1,2,6659.07155625603
26,2786,810,634,1172,10656,661,83.3366563652677,4,1,1,2,1,1,2,7418.93062037108
27,2786,823,651,1175,10952,696,85.1510318014156,4,1,1,2,1,1,2,8203.30677856822
28,2786,838,668,1179,11208,732,86.7859635131094,4,1,1,2,1,1,2,9003.93267417188
29,2786,854,685,1185,11431,768,88.2713587877579,4,1,1,2,1,1,2,9814.4329774141
30,2786,871,702,1192,11747,824,89.6371249127704,5,1,1,2,1,2,3,10625.8853284216
31,2786,888,719,1200,11914,858,91.5412222111455,5,1,1,2,1,2,3,11437.5220812721
32,2786,905,737,1208,12066,890,92.6727145847872,5,1,1,2,1,2,3,12245.8687900881
33,2786,922,755,1217,12203,921,93.7294387399063,5,1,1,2,1,2,3,13048.9172655114
34,2786,939,773,1227,12329,950,94.7263483202074,5,1,1,2,1,2,3,13844.7516713996
35,2786,956,791,1237,12444,978,95.6634433256904,5,1,1,2,1,2,3,14631.8650965116
36,2786,972,809,1247,12550,1004,96.5407237563553,5,1,1,2,1,2,3,15408.9744676633
37,2786,988,828,1257,12648,1029,97.3781278038082,5,1,1,2,1,2,3,16174.9564448193
38,2786,1004,847,1267,12738,1053,98.1706709201475,5,1,1,2,1,2,3,16928.9814149957
39,2786,1019,866,1277,12822,1075,98.9183531053733,5,1,1,2,1,2,3,17670.3072380175
40,2786,1094,885,1287,12900,1096,99.6311434552886,5,1,2,2,1,2,3,18394.3086237254
