Year,Biomass1,Biomass2,Biomass3,Biomass4,Biomass5,Biomass6,PctShade,ShadeClass,NumCohorts1,NumCohorts2,NumCohorts3,NumCohorts4,NumCohorts5,NumCohorts6,DeadWoodyBio
0,187,299,204,133,501,87,0,0,1,1,1,1,1,1,0
1,353,319,212,271,569,146,9.32110457581497,0,1,1,1,1,1,1,0
2,584,337,219,466,645,220,12.3168178646197,0,1,1,1,1,1,1,0
3,868,354,225,702,729,294,15.8109859435749,1,1,1,1,1,1,1,0
4,1190,370,231,953,822,520,20.3668627255508,1,1,1,1,1,1,1,98.249148541481
5,1519,385,237,1134,926,536,23.6118034094308,1,1,1,1,1,1,1,291.657693695767
6,1852,401,244,1170,1042,536,26.1439537433955,1,1,1,1,1,1,1,486.898784591348
7,2164,417,252,1171,1172,536,28.4717376133985,1,1,1,1,1,1,1,694.993018471239
8,2417,434,261,1171,1320,536,30.6001395673412,1,1,1,1,1,1,1,958.238073669708
9,2593,452,271,1171,1491,536,32.4693450304057,1,1,1,1,1,1,1,1258.83745218528
10,2703,645,283,1248,1692,536,34.1790449606221,1,1,2,1,2,1,1,1575.64387379016
11,2741,669,298,1258,1922,536,37.0052836207756,1,1,2,1,2,1,1,1877.71264226956
12,2758,696,316,1268,2197,536,38.7349217425979,2,1,2,1,2,1,1,2156.33632988243
13,2763,726,334,1279,2529,536,40.7088027115941,2,1,2,1,2,1,1,2421.82822755037
14,2764,759,339,1290,2929,536,42.9518492672715,2,1,2,1,2,1,1,2654.50692809639
15,2764,797,344,1302,3412,536,45.6335360382813,2,1,2,1,2,1,1,2856.31805979623
16,2764,842,348,1314,3989,536,48.8136775994417,3,1,2,1,2,1,1,3028.3637894537
17,2764,898,351,1326,4666,536,52.5421194297677,3,1,2,1,2,1,1,3171.98557952325
18,2764,970,353,1337,5437,536,56.8088924334563,3,1,2,1,2,1,1,3313.49081038504
19,2764,1023,354,1347,6271,536,61.2850164490081,3,1,2,1,2,1,1,3464.87770632571
20,2764,1034,426,1357,7118,566,65.6165885754162,4,1,2,2,2,1,2,3704.33040593648
21,2764,1045,429,1367,7902,567,70.1525271657861,4,1,2,2,2,1,2,4070.79168991941
22,2764,1060,435,1378,8589,569,73.7463862027714,4,1,2,2,2,1,2,4555.72375417615
23,2764,1077,445,1390,9167,577,76.8617286412123,4,1,2,2,2,1,2,5132.57885028926
24,2764,1096,457,1402,9645,594,79.5434154122221,4,1,2,2,2,1,2,5778.43452016088
25,2764,1118,469,1415,10042,618,81.8761838301266,4,1,2,2,2,1,2,6473.90119346207
26,2764,1145,481,1429,10374,646,83.9348021134483,4,1,2,2,2,1,2,7203.58428202641
27,2764,1174,493,1444,10656,677,85.7741002891038,4,1,2,2,2,1,2,7956.42236937441
28,2764,1206,505,1461,10898,709,87.4439238361081,4,1,2,2,2,1,2,8723.92012032287
29,2764,1239,517,1479,11108,741,88.9642109460672,5,1,2,2,2,1,2,9499.69398132601
30,2764,1344,529,1499,11291,792,90.3648689063902,5,1,3,2,2,1,3,10276.1926131162
31,2764,1381,541,1519,11446,822,92.079553384508,5,1,3,2,2,1,3,11051.4745877028
32,2764,1418,553,1540,11584,851,93.2608912371648,5,1,3,2,2,1,3,11822.4333190301
33,2764,1455,565,1562,11707,879,94.367460871299,5,1,3,2,2,1,3,12586.8282329271
34,2764,1493,578,1585,11818,905,95.4192004785166,5,1,3,2,2,1,3,13342.725126878
35,2764,1532,591,1609,11918,930,96.4210946067192,5,1,3,2,2,1,3,14088.6253587924
36,2764,1572,604,1633,12008,954,97.3731432559067,5,1,3,2,2,1,3,14823.2632568979
37,2764,1611,617,1657,12089,976,98.2653773302762,5,1,3,2,2,1,3,15545.5236523906
38,2764,1651,630,1682,12163,997,99.1277041172366,5,1,3,2,2,1,3,16255.1135810789
39,2764,1690,643,1707,12229,1017,99.9401854251819,5,1,3,2,2,1,3,16951.9574828508
40,2764,1788,656,1732,12289,1053,100,5,1,4,2,2,1,4,17631.0004501561
