Year,Biomass1,Biomass2,Biomass3,Biomass4,Biomass5,Biomass6,PctShade,ShadeClass,NumCohorts1,NumCohorts2,NumCohorts3,NumCohorts4,NumCohorts5,NumCohorts6,DeadWoodyBio
0,187,299,204,133,501,87,0,0,1,1,1,1,1,1,0
1,353,319,212,271,569,146,9.32110457581497,0,1,1,1,1,1,1,0
2,584,337,219,466,645,220,12.3168178646197,0,1,1,1,1,1,1,0
3,868,354,225,702,729,294,15.8109859435749,1,1,1,1,1,1,1,0
4,1190,370,231,953,822,520,20.3668627255508,1,1,1,1,1,1,1,98.249148541481
5,1519,385,237,1134,926,536,23.6118034094308,1,1,1,1,1,1,1,291.657693695767
6,1852,401,244,1170,1042,536,26.1439537433955,1,1,1,1,1,1,1,486.898784591348
7,2164,417,252,1171,1172,536,28.4717376133985,1,1,1,1,1,1,1,694.993018471239
8,2417,434,261,1171,1320,536,30.6001395673412,1,1,1,1,1,1,1,958.238073669708
9,2593,452,271,1171,1491,536,32.4693450304057,1,1,1,1,1,1,1,1258.83745218528
10,2811,472,283,1248,1982,586,34.1790449606221,1,2,1,1,2,2,2,1572.23931574161
11,2848,494,299,1258,2209,590,38.3710497457881,2,2,1,1,2,2,2,1861.95366884736
12,2875,518,317,1268,2478,594,40.1256106071179,2,2,1,1,2,2,2,2137.98667642892
13,2897,545,323,1279,2799,598,42.0745688366065,2,2,1,1,2,2,2,2381.89536348571
14,2919,575,329,1291,3183,602,44.357491775496,2,2,1,1,2,2,2,2595.37893553192
15,2940,610,333,1303,3643,606,47.0292094507028,3,2,1,1,2,2,2,2780.21342002334
16,2959,651,336,1315,4188,610,50.1395673412422,3,2,1,1,2,2,2,2940.88018856978
17,2974,700,338,1327,4825,614,53.7234572824245,3,2,1,1,2,2,2,3078.02286417518
18,2986,756,340,1338,5549,618,57.7559565347423,3,2,1,1,2,2,2,3228.02188917681
19,2994,782,341,1348,6337,622,61.9280231283023,3,2,1,1,2,2,2,3363.23227798869
20,3068,782,343,1358,7322,656,66.0951051739607,4,3,1,1,2,3,3,3574.36944847633
21,3081,782,344,1367,8063,661,71.2690658957233,4,3,1,1,2,3,3,3901.85190551482
22,3101,782,348,1377,8723,666,74.7532648788755,4,3,1,1,2,3,3,4340.5907221132
23,3126,782,356,1388,9284,674,77.8087927424983,4,3,1,1,2,3,3,4869.95090261552
24,3154,783,366,1400,9753,689,80.4755258698036,4,3,1,1,2,3,3,5465.84416865947
25,3185,787,377,1413,10148,711,82.8481706709202,4,3,1,1,2,3,3,6110.00643184558
26,3217,793,388,1426,10484,737,84.9616189811584,4,3,1,1,2,3,3,6786.99124226157
27,3251,801,399,1440,10774,765,86.880669923238,4,3,1,1,2,3,3,7485.22412886596
28,3286,811,410,1455,11030,794,88.6551689761739,5,3,1,1,2,3,3,8195.97520063508
29,3322,822,421,1471,11261,823,90.3200079752766,5,3,1,1,2,3,3,8912.40833816484
30,3359,902,432,1488,11474,852,91.9100787558568,5,3,2,1,2,3,3,9627.94761119458
31,3397,914,443,1506,11671,880,93.7643305752168,5,3,2,1,2,3,3,10339.0283258356
32,3435,926,454,1524,11859,907,95.2297876582594,5,3,2,1,2,3,3,11046.580264757
33,3474,938,465,1543,12031,933,96.6204765227794,5,3,2,1,2,3,3,11766.7647318459
34,3514,950,477,1562,12175,958,97.8765825939587,5,3,2,1,2,3,3,12487.5637882969
35,3554,963,489,1583,12298,983,99.042966802911,5,3,2,1,2,3,3,13197.729788603
36,3594,976,501,1604,12411,1007,100,5,3,2,1,2,3,3,13898.747287039
37,3635,988,513,1625,12515,1030,100,5,3,2,1,2,3,3,14588.6113746763
38,3675,1000,525,1647,12612,1052,100,5,3,2,1,2,3,3,15266.4715729749
39,3715,1012,537,1669,12701,1074,100,5,3,2,1,2,3,3,15931.2948505254
40,3755,1023,549,1691,12784,1095,100,5,3,2,1,2,3,3,16582.2857870345
41,3795,1034,561,1713,12862,1115,100,5,3,2,1,2,3,3,17218.8422940411
