Year,Biomass1,Biomass2,Biomass3,Biomass4,Biomass5,Biomass6,PctShade,ShadeClass,NumCohorts1,NumCohorts2,NumCohorts3,NumCohorts4,NumCohorts5,NumCohorts6,DeadWoodyBio
0,187,299,204,133,501,87,0,0,1,1,1,1,1,1,0
1,353,319,212,271,569,146,9.32110457581497,0,1,1,1,1,1,1,0
2,584,337,219,466,645,220,12.3168178646197,0,1,1,1,1,1,1,0
3,868,354,225,702,729,294,15.8109859435749,1,1,1,1,1,1,1,0
4,1190,370,231,953,822,520,20.3668627255508,1,1,1,1,1,1,1,98.249148541481
5,1519,385,237,1134,926,536,23.6118034094308,1,1,1,1,1,1,1,291.657693695767
6,1852,401,244,1170,1042,536,26.1439537433955,1,1,1,1,1,1,1,486.898784591348
7,2164,417,252,1171,1172,536,28.4717376133985,1,1,1,1,1,1,1,694.993018471239
8,2417,434,261,1171,1320,536,30.6001395673412,1,1,1,1,1,1,1,958.238073669708
9,2593,452,271,1171,1491,536,32.4693450304057,1,1,1,1,1,1,1,1258.83745218528
10,2811,472,283,1248,1692,586,34.1790449606221,1,2,1,1,2,1,2,1575.22563329493
11,2869,493,298,1258,1922,590,37.0351909081846,1,2,1,1,2,1,2,1876.85538030241
12,2907,517,316,1268,2197,594,38.8744890838401,2,2,1,1,2,1,2,2154.7491953631
13,2935,543,334,1279,2527,598,40.9530455587678,2,2,1,1,2,1,2,2416.99396549567
14,2958,572,339,1290,2924,602,43.2907985245738,2,2,1,1,2,1,2,2645.49823737672
15,2981,606,344,1302,3401,606,46.0572226099093,2,2,1,1,2,1,2,2842.96294448072
16,3001,645,348,1314,3970,610,49.2872096500847,3,2,1,1,2,1,2,3014.51435491074
17,3017,692,351,1326,4636,614,53.0156514804107,3,2,1,1,2,1,2,3160.92295508116
18,3029,748,353,1337,5393,618,57.2126408134782,3,2,1,1,2,1,2,3308.37352425319
19,3038,783,354,1347,6212,622,61.5890738709999,3,2,1,1,2,1,2,3452.55349610575
20,3047,783,355,1357,7219,626,65.86083142259,4,2,1,1,2,2,2,3689.84006125604
21,3055,783,356,1366,7983,629,70.6410128601336,4,2,1,1,2,2,2,4049.00759036657
22,3069,783,361,1377,8656,633,74.1650882264979,4,2,1,1,2,2,2,4522.32884059301
23,3089,783,370,1389,9223,642,77.2405542817266,4,2,1,1,2,2,2,5086.19104014941
24,3111,785,381,1401,9692,659,79.897318313229,4,2,1,1,2,2,2,5717.27784855484
25,3135,790,392,1414,10083,683,82.2300867311335,4,2,1,1,2,2,2,6397.06464078213
26,3160,798,404,1427,10410,711,84.2887050144552,4,2,1,1,2,2,2,7110.18483823413
27,3186,809,416,1441,10688,742,86.1429568338152,4,2,1,1,2,2,2,7845.54831308315
28,3213,821,428,1457,10928,773,87.827734024524,4,2,1,1,2,2,2,8594.63870540768
29,3241,835,440,1474,11137,806,89.3878975176952,5,2,1,1,2,2,2,9351.17204464976
30,3270,918,452,1492,11321,838,90.8284318612302,5,2,2,1,2,2,2,10108.3610553787
31,3299,933,464,1512,11481,869,92.503239956136,5,2,2,1,2,2,2,10863.5070331433
32,3328,948,476,1532,11625,899,93.7493769315123,5,2,2,1,2,2,2,11613.3476411424
33,3357,962,488,1553,11757,928,94.9307147841691,5,2,2,1,2,2,2,12355.5217196904
34,3386,976,500,1575,11878,956,96.0572226099093,5,2,2,1,2,2,2,13088.4367288131
35,3414,990,513,1597,11990,982,97.1289004087329,5,2,2,1,2,2,2,13811.6026869567
36,3442,1004,526,1620,12094,1007,98.1607018243445,5,2,2,1,2,2,2,14523.5643913815
37,3469,1017,539,1643,12191,1031,99.1426577609411,5,2,2,1,2,2,2,15223.3221080641
38,3495,1030,552,1666,12282,1054,100,5,2,2,1,2,2,2,15909.910650773
39,3520,1042,565,1690,12368,1075,100,5,2,2,1,2,2,2,16582.5011212677
40,3544,1112,578,1714,12450,1112,100,5,2,3,1,2,2,3,17236.1598245276
41,3566,1123,591,1738,12525,1131,100,5,2,3,1,2,2,3,17875.4849245623
