Year,Biomass1,Biomass2,Biomass3,Biomass4,Biomass5,Biomass6,PctShade,ShadeClass,NumCohorts1,NumCohorts2,NumCohorts3,NumCohorts4,NumCohorts5,NumCohorts6,DeadWoodyBio
0,187,299,204,133,501,87,0,0,1,1,1,1,1,1,0
1,353,319,212,271,569,146,9.32110457581497,0,1,1,1,1,1,1,0
2,584,337,219,466,645,220,12.3168178646197,0,1,1,1,1,1,1,0
3,868,354,225,702,729,294,15.8109859435749,1,1,1,1,1,1,1,0
4,1190,370,231,953,822,520,20.3668627255508,1,1,1,1,1,1,1,98.249148541481
5,1519,385,237,1134,926,536,23.6118034094308,1,1,1,1,1,1,1,291.657693695767
6,1852,401,244,1170,1042,536,26.1439537433955,1,1,1,1,1,1,1,486.898784591348
7,2164,417,252,1171,1172,536,28.4717376133985,1,1,1,1,1,1,1,694.993018471239
8,2417,434,261,1171,1320,536,30.6001395673412,1,1,1,1,1,1,1,958.238073669708
9,2593,452,271,1171,1491,536,32.4693450304057,1,1,1,1,1,1,1,1258.83745218528
10,2811,472,283,1248,1982,586,34.1790449606221,1,2,1,1,2,2,2,1572.23931574161
11,2848,494,299,1258,2209,590,38.3710497457881,2,2,1,1,2,2,2,1861.95366884736
12,2875,518,317,1268,2478,594,40.1256106071179,2,2,1,1,2,2,2,2137.98667642892
13,2897,545,323,1279,2799,598,42.0745688366065,2,2,1,1,2,2,2,2381.89536348571
14,2919,575,329,1291,3183,602,44.357491775496,2,2,1,1,2,2,2,2595.37893553192
15,2940,610,333,1303,3643,606,47.0292094507028,3,2,1,1,2,2,2,2780.21342002334
16,2959,651,336,1315,4188,610,50.1395673412422,3,2,1,1,2,2,2,2940.88018856978
17,2974,700,338,1327,4825,614,53.7234572824245,3,2,1,1,2,2,2,3078.02286417518
18,2986,756,340,1338,5549,618,57.7559565347423,3,2,1,1,2,2,2,3228.02188917681
19,2994,782,341,1348,6337,622,61.9280231283023,3,2,1,1,2,2,2,3363.23227798869
20,3068,782,343,1358,7148,656,66.0951051739607,4,3,1,1,2,2,3,3569.13927647451
21,3083,782,344,1367,7911,661,70.5213837104975,4,3,1,1,2,2,3,3893.35338073332
22,3102,782,348,1377,8591,666,74.1002891037783,4,3,1,1,2,2,3,4332.0916839059
23,3127,782,356,1389,9170,674,77.2505233775297,4,3,1,1,2,2,3,4865.3824939372
24,3156,783,366,1401,9653,690,79.9970092712591,4,3,1,1,2,2,3,5468.37529505366
25,3187,787,377,1414,10057,713,82.4194995513907,4,3,1,1,2,2,3,6121.70499967354
26,3219,793,388,1427,10399,740,84.5678396969395,4,3,1,1,2,2,3,6809.46727152338
27,3253,802,399,1442,10693,769,86.5217824743296,4,3,1,1,2,2,3,7519.65390415244
28,3288,813,410,1457,10950,799,88.31123517097,4,3,1,1,2,2,3,8243.11837653495
29,3325,825,421,1473,11180,830,89.9910278137773,5,3,1,1,2,2,3,8973.2049271277
30,3362,907,432,1491,11389,880,91.576114046456,5,3,2,1,2,2,4,9702.3442685872
31,3400,920,443,1509,11578,909,93.5051340843386,5,3,2,1,2,2,4,10427.3959860509
32,3440,933,454,1528,11754,937,94.9356993320706,5,3,2,1,2,2,4,11146.9243497936
33,3479,946,466,1548,11914,964,96.2865118133785,5,3,2,1,2,2,4,11877.1586151435
34,3519,958,478,1568,12049,990,97.5077260492473,5,3,2,1,2,2,4,12613.973969592
35,3560,971,490,1589,12156,1016,98.6043265875785,5,3,2,1,2,2,4,13338.9875544766
36,3601,984,502,1611,12253,1041,99.6510816468946,5,3,2,1,2,2,4,14056.4877961219
37,3642,997,514,1634,12338,1065,100,5,3,2,1,2,2,4,14763.5486628648
38,3684,1010,526,1657,12413,1089,100,5,3,2,1,2,2,4,15459.6224344493
39,3726,1022,538,1680,12479,1112,100,5,3,2,1,2,2,4,16143.7277897387
40,3767,1034,550,1704,12537,1134,100,5,3,2,1,2,2,4,16815.2510849013
41,3808,1046,563,1728,12587,1156,100,5,3,2,1,2,2,4,17473.6282944074
