Year,Biomass1,Biomass2,Biomass3,Biomass4,Biomass5,Biomass6,PctShade,ShadeClass,NumCohorts1,NumCohorts2,NumCohorts3,NumCohorts4,NumCohorts5,NumCohorts6,DeadWoodyBio
0,187,299,204,133,501,87,0,0,1,1,1,1,1,1,0
1,353,319,212,271,569,146,9.32110457581497,0,1,1,1,1,1,1,0
2,584,337,219,466,645,220,12.3168178646197,0,1,1,1,1,1,1,0
3,868,354,225,702,729,294,15.8109859435749,1,1,1,1,1,1,1,0
4,1190,370,231,953,822,520,20.3668627255508,1,1,1,1,1,1,1,98.249148541481
5,1519,385,237,1134,926,536,23.6118034094308,1,1,1,1,1,1,1,291.657693695767
6,1852,401,244,1170,1042,536,26.1439537433955,1,1,1,1,1,1,1,486.898784591348
7,2164,417,252,1171,1172,536,28.4717376133985,1,1,1,1,1,1,1,694.993018471239
8,2417,434,261,1171,1320,536,30.6001395673412,1,1,1,1,1,1,1,958.238073669708
9,2593,452,271,1171,1491,536,32.4693450304057,1,1,1,1,1,1,1,1258.83745218528
10,2811,645,283,1248,1692,586,34.1790449606221,1,2,2,1,2,1,2,1573.94120941556
11,2856,669,299,1257,1916,590,37.817764928721,1,2,2,1,2,1,2,1868.51639264432
12,2887,696,318,1267,2183,594,39.6022330774599,2,2,2,1,2,1,2,2144.17194661501
13,2911,726,330,1278,2503,598,41.6010367859635,2,2,2,1,2,1,2,2395.44578889785
14,2934,760,335,1289,2888,602,43.903897916459,2,2,2,1,2,1,2,2614.75987621514
15,2956,799,339,1300,3349,606,46.6005383311734,2,2,2,1,2,1,2,2804.83567506751
16,2975,846,342,1311,3898,610,49.7557571528262,3,2,2,1,2,1,2,2969.92659260975
17,2990,904,344,1322,4540,614,53.4044462167281,3,2,2,1,2,1,2,3110.64253089948
18,3002,977,346,1333,5271,618,57.5565746186821,3,2,2,1,2,1,2,3266.34625756687
19,3011,1018,347,1343,6064,622,61.8333167181737,3,2,2,1,2,1,2,3410.15880843676
20,3020,1133,420,1353,6875,656,66.0602133386502,4,2,3,2,2,1,3,3635.95858076634
21,3028,1149,423,1362,7618,660,70.9799621174359,4,2,3,2,2,1,3,3974.59763498587
22,3042,1168,428,1372,8273,664,74.5040374838002,4,2,3,2,2,1,3,4422.85962601667
23,3061,1189,437,1383,8824,672,77.589472634832,4,2,3,2,2,1,3,4962.17110761575
24,3083,1211,448,1395,9280,688,80.2761439537434,4,2,3,2,2,1,3,5568.70104386375
25,3106,1236,459,1407,9656,710,82.6138969195494,4,2,3,2,2,1,3,6223.37714905421
26,3131,1265,470,1419,9969,736,84.6874688465756,4,2,3,2,2,1,3,6911.00960243819
27,3157,1296,481,1433,10233,765,86.5566743096401,4,2,3,2,2,1,3,7620.45563537887
28,3183,1330,492,1447,10457,795,88.2464360482504,4,2,3,2,2,1,3,8343.04523518715
29,3210,1365,503,1463,10650,825,89.8016149935201,5,2,3,2,2,1,3,9072.5286898221
30,3238,1402,515,1480,10817,876,91.2571029807596,5,2,3,2,2,1,4,9803.32604063923
31,3266,1440,527,1497,10961,906,92.6976373242947,5,2,3,2,2,1,4,10531.8495147103
32,3294,1478,539,1516,11088,935,93.9587279433755,5,2,3,2,2,1,4,11255.1610487183
33,3322,1517,551,1535,11200,963,95.1450503439338,5,2,3,2,2,1,4,11970.873641212
34,3350,1557,563,1554,11299,990,96.2665736217725,5,2,3,2,2,1,4,12677.6938708746
35,3377,1597,575,1574,11387,1016,97.3282823247931,5,2,3,2,2,1,4,13374.8503403629
36,3403,1637,587,1594,11465,1040,98.3251919050942,5,2,3,2,2,1,4,14060.9089703659
37,3429,1677,599,1615,11534,1063,99.2772405542817,5,2,3,2,2,1,4,14735.980964068
38,3454,1717,611,1637,11595,1085,100,5,2,3,2,2,1,4,15399.2761138314
39,3478,1757,624,1659,11649,1106,100,5,2,3,2,2,1,4,16050.1292038508
40,3500,1797,637,1681,11696,1143,100,5,2,3,2,2,1,5,16687.0732636788
