Year,Biomass1,Biomass2,Biomass3,Biomass4,Biomass5,Biomass6,PctShade,ShadeClass,NumCohorts1,NumCohorts2,NumCohorts3,NumCohorts4,NumCohorts5,NumCohorts6,DeadWoodyBio
0,187,299,204,133,501,87,0,0,1,1,1,1,1,1,0
1,353,319,212,271,569,146,9.32110457581497,0,1,1,1,1,1,1,0
2,584,337,219,466,645,220,12.3168178646197,0,1,1,1,1,1,1,0
3,868,354,225,702,729,294,15.8109859435749,1,1,1,1,1,1,1,0
4,1190,370,231,953,822,520,20.3668627255508,1,1,1,1,1,1,1,98.249148541481
5,1519,385,237,1134,926,536,23.6118034094308,1,1,1,1,1,1,1,291.657693695767
6,1852,401,244,1170,1042,536,26.1439537433955,1,1,1,1,1,1,1,486.898784591348
7,2164,417,252,1171,1172,536,28.4717376133985,1,1,1,1,1,1,1,694.993018471239
8,2417,434,261,1171,1320,536,30.6001395673412,1,1,1,1,1,1,1,958.238073669708
9,2593,452,271,1171,1491,536,32.4693450304057,1,1,1,1,1,1,1,1258.83745218528
10,2811,645,401,1171,1692,536,34.1790449606221,1,2,2,2,1,1,1,1574.36344731923
11,2856,670,422,1171,1917,536,37.7429967101984,1,2,2,2,1,1,1,1869.8372381264
12,2888,697,448,1171,2185,536,39.5025421194298,2,2,2,2,1,1,1,2145.69788337723
13,2913,727,468,1171,2507,536,41.4814076363274,2,2,2,2,1,1,1,2399.11143835903
14,2936,761,481,1171,2894,536,43.7593460273153,2,2,2,2,1,1,1,2620.56762442278
15,2958,800,493,1171,3359,536,46.4410327983252,2,2,2,2,1,1,1,2812.62634326769
16,2977,847,504,1171,3913,536,49.5862825241751,3,2,2,2,1,1,1,2979.64981418634
17,2993,905,514,1171,4562,536,53.2399561359785,3,2,2,2,1,1,1,3122.32860507135
18,3005,978,523,1171,5300,536,57.3870999900309,3,2,2,2,1,1,1,3277.00355557208
19,3014,1023,531,1171,6101,536,61.68876482903,3,2,2,2,1,1,1,3423.40339160217
20,3023,1139,540,1171,6920,566,65.920645997408,4,2,3,2,1,1,2,3651.8581109803
21,3031,1155,548,1171,7679,567,70.536337354202,4,2,3,2,1,1,2,3994.78218712078
22,3045,1175,560,1171,8349,569,74.1152427474828,4,2,3,2,1,1,2,4449.89989262003
23,3064,1196,574,1171,8913,575,77.2256006380221,4,2,3,2,1,1,2,4997.75521193285
24,3086,1218,590,1171,9380,588,79.917256504835,4,2,3,2,1,1,2,5614.06806289668
25,3110,1243,607,1171,9766,608,82.2699631143455,4,2,3,2,1,1,2,6279.76653183272
26,3135,1272,623,1171,10088,633,84.3485195892733,4,2,3,2,1,1,2,6979.61301184315
27,3161,1304,639,1172,10360,660,86.2127405044362,4,2,3,2,1,1,2,7702.2389374792
28,3188,1339,656,1174,10592,688,87.9124713388496,4,2,3,2,1,1,2,8438.92460581317
29,3216,1375,673,1177,10792,716,89.4676502841192,5,2,3,2,1,1,2,9183.01683060383
30,3244,1412,690,1180,10966,764,90.8982155318513,5,2,3,2,1,1,3,9929.0615292094
31,3272,1451,707,1184,11116,791,92.3188116837803,5,2,3,2,1,1,3,10673.4427918483
32,3301,1490,724,1188,11249,817,93.5549795633536,5,2,3,2,1,1,3,11413.2016333714
33,3330,1530,741,1193,11367,842,94.7213637723059,5,2,3,2,1,1,3,12146.0133039721
34,3358,1571,758,1198,11472,866,95.817964310637,5,2,3,2,1,1,3,12870.1798965727
35,3386,1612,775,1203,11566,889,96.8547502741501,5,2,3,2,1,1,3,13585.376693995
36,3413,1653,793,1208,11650,911,97.8367062107467,5,2,3,2,1,1,3,14290.132268808
37,3439,1695,811,1213,11725,932,98.7688166683282,5,2,3,2,1,1,3,14983.8810674985
38,3465,1736,829,1218,11792,952,99.6510816468946,5,2,3,2,1,1,3,15666.4755921867
39,3490,1778,848,1224,11852,970,100,5,2,3,2,1,1,3,16337.1004987761
40,3514,1820,867,1230,11905,1005,100,5,2,3,2,1,1,4,16994.3412068031
41,3536,1861,886,1235,11951,1022,100,5,2,3,2,1,1,4,17638.8843985453
