Year,Biomass1,Biomass2,Biomass3,Biomass4,Biomass5,Biomass6,PctShade,ShadeClass,NumCohorts1,NumCohorts2,NumCohorts3,NumCohorts4,NumCohorts5,NumCohorts6,DeadWoodyBio
0,187,299,204,133,501,87,0,0,1,1,1,1,1,1,0
1,353,319,212,271,569,146,9.32110457581497,0,1,1,1,1,1,1,0
2,584,337,219,466,645,220,12.3168178646197,0,1,1,1,1,1,1,0
3,868,354,225,702,729,294,15.8109859435749,1,1,1,1,1,1,1,0
4,1190,370,231,953,822,520,20.3668627255508,1,1,1,1,1,1,1,98.249148541481
5,1519,385,237,1134,926,536,23.6118034094308,1,1,1,1,1,1,1,291.657693695767
6,1852,401,244,1170,1042,536,26.1439537433955,1,1,1,1,1,1,1,486.898784591348
7,2164,417,252,1171,1172,536,28.4717376133985,1,1,1,1,1,1,1,694.993018471239
8,2417,434,261,1171,1320,536,30.6001395673412,1,1,1,1,1,1,1,958.238073669708
9,2593,452,271,1171,1491,536,32.4693450304057,1,1,1,1,1,1,1,1258.83745218528
10,2703,472,401,1248,1692,586,34.1790449606221,1,1,1,2,2,1,2,1575.24143658456
11,2741,493,420,1258,1922,590,37.0052836207756,1,1,1,2,2,1,2,1876.9367884919
12,2758,517,444,1268,2197,594,38.7698135779085,2,1,1,2,2,1,2,2155.07813184366
13,2763,543,469,1279,2528,598,40.7736018343136,2,1,1,2,2,1,2,2419.44136603248
14,2763,572,482,1291,2927,602,43.0515402253016,2,1,1,2,2,1,2,2650.56482650577
15,2763,606,495,1303,3408,606,45.7631342837205,2,1,1,2,2,1,2,2850.61921031692
16,2763,645,507,1315,3982,610,48.9582294885854,3,1,1,2,2,1,2,3020.88697512321
17,2763,692,518,1327,4655,614,52.6816867710099,3,1,1,2,2,1,2,3162.89802416511
18,2763,748,528,1338,5420,618,56.8986142956834,3,1,1,2,2,1,2,3298.55607419349
19,2763,788,536,1348,6249,622,61.3398464759246,3,1,1,2,2,1,2,3441.81245362209
20,2763,788,544,1358,7267,656,65.6514804107267,4,1,1,2,2,2,3,3675.38755781867
21,2763,788,551,1367,8035,660,70.6011364769215,4,1,1,2,2,2,3,4039.3430734372
22,2763,788,563,1378,8710,665,74.1052736516798,4,1,1,2,2,2,3,4521.08149219927
23,2763,788,578,1390,9278,675,77.1209251320905,4,1,1,2,2,2,3,5091.99140920602
24,2763,790,595,1402,9751,694,79.7278436845778,4,1,1,2,2,2,3,5730.22833753592
25,2763,795,611,1415,10146,720,81.9958129797627,4,1,1,2,2,2,3,6417.18013457094
26,2763,803,628,1429,10479,750,83.9996012361679,4,1,1,2,2,2,3,7137.95654066342
27,2763,814,645,1443,10764,782,85.7890539328083,4,1,1,2,2,2,3,7881.52608717485
28,2763,827,662,1459,11011,817,87.423985644502,4,1,1,2,2,2,3,8639.8175144882
29,2763,841,679,1476,11227,852,88.9143654670521,5,1,1,2,2,2,3,9406.41478450209
30,2763,856,696,1495,11419,906,90.2950852357691,5,1,1,2,2,2,4,10175.8641535636
31,2763,871,713,1515,11590,940,91.6758050044861,5,1,1,2,2,2,4,10944.9320527958
32,2763,886,730,1536,11745,973,92.8770810487489,5,1,1,2,2,2,4,11710.4966394485
33,2763,901,747,1558,11888,1005,94.0185425181936,5,1,1,2,2,2,4,12470.1739706277
34,2763,916,765,1581,12020,1035,95.1051739607218,5,1,1,2,2,2,4,13221.704181851
35,2763,931,783,1605,12143,1064,96.1469444721364,5,1,1,2,2,2,4,13963.4710878269
36,2763,945,801,1629,12257,1092,97.1338849566344,5,1,1,2,2,2,4,14694.0555705661
37,2763,959,819,1653,12364,1118,98.0759645100189,5,1,1,2,2,2,4,15412.2261433575
38,2763,972,837,1678,12466,1143,98.9881367759944,5,1,1,2,2,2,4,16117.032473319
39,2763,985,855,1703,12562,1167,99.8654172066594,5,1,1,2,2,2,4,16807.7344404857
40,2763,998,874,1728,12654,1189,100,5,1,1,2,2,2,4,17483.4955050477
41,2763,1010,893,1754,12742,1210,100,5,1,1,2,2,2,4,18143.7364822917
