Year,Biomass1,Biomass2,Biomass3,Biomass4,Biomass5,Biomass6,PctShade,ShadeClass,NumCohorts1,NumCohorts2,NumCohorts3,NumCohorts4,NumCohorts5,NumCohorts6,DeadWoodyBio
0,187,299,204,133,501,87,0,0,1,1,1,1,1,1,0
1,353,319,212,271,569,146,9.32110457581497,0,1,1,1,1,1,1,0
2,584,337,219,466,645,220,12.3168178646197,0,1,1,1,1,1,1,0
3,868,354,225,702,729,294,15.8109859435749,1,1,1,1,1,1,1,0
4,1190,370,231,953,822,520,20.3668627255508,1,1,1,1,1,1,1,98.249148541481
5,1519,385,237,1134,926,536,23.6118034094308,1,1,1,1,1,1,1,291.657693695767
6,1852,401,244,1170,1042,536,26.1439537433955,1,1,1,1,1,1,1,486.898784591348
7,2164,417,252,1171,1172,536,28.4717376133985,1,1,1,1,1,1,1,694.993018471239
8,2417,434,261,1171,1320,536,30.6001395673412,1,1,1,1,1,1,1,958.238073669708
9,2593,452,271,1171,1491,536,32.4693450304057,1,1,1,1,1,1,1,1258.83745218528
10,2811,645,401,1248,1692,536,34.1790449606221,1,2,2,2,2,1,1,1572.84258236434
11,2851,670,422,1257,1914,536,38.1317914465158,1,2,2,2,2,1,1,1864.40748412575
12,2880,697,448,1267,2179,536,39.9112750473532,2,2,2,2,2,1,1,2140.73889983423
13,2904,728,463,1277,2496,536,41.8901405642508,2,2,2,2,2,1,1,2387.26146221871
14,2926,762,475,1288,2876,536,44.1780480510418,2,2,2,2,2,1,1,2602.76814596232
15,2947,801,487,1299,3332,536,46.8647193699531,3,2,2,2,2,1,1,2789.52763994567
16,2966,848,498,1310,3874,536,50.0049845479015,3,2,2,2,2,1,1,2951.71549194027
17,2981,906,508,1321,4508,536,53.6337354201974,3,2,2,2,2,1,1,3089.92433641048
18,2993,979,517,1331,5229,536,57.7459874389393,3,2,2,2,2,1,1,3247.69464708308
19,3001,1017,525,1341,6012,536,61.9678995115143,3,2,2,2,2,1,1,3388.79065827211
20,3011,1029,534,1351,6814,536,66.1698733924833,4,2,2,2,2,1,1,3603.74849787901
21,3019,1039,542,1360,7579,536,70.1575117136876,4,2,2,2,2,1,1,3931.93450626154
22,3032,1053,553,1370,8259,536,73.7862625859835,4,2,2,2,2,1,1,4372.84058572696
23,3050,1069,567,1381,8834,540,76.9664041471438,4,2,2,2,2,1,1,4910.08743352906
24,3071,1087,583,1393,9309,551,79.7228591366763,4,2,2,2,2,1,1,5518.13000686358
25,3094,1108,600,1405,9701,570,82.1353803210049,4,2,2,2,2,1,1,6177.62396322606
26,3119,1133,616,1417,10027,593,84.2637822749477,4,2,2,2,2,1,1,6872.36157335912
27,3145,1160,632,1431,10301,618,86.1678795733227,4,2,2,2,2,1,1,7590.38429615137
28,3172,1190,648,1446,10534,645,87.9025022430466,4,2,2,2,2,1,1,8322.9626008081
29,3199,1222,664,1461,10734,672,89.4826039278237,5,2,2,2,2,1,1,9063.27038508793
30,3227,1324,681,1478,10907,719,90.9530455587678,5,2,3,2,2,1,2,9804.1867337767
31,3255,1359,698,1496,11051,745,92.7325291596052,5,2,3,2,2,1,2,10542.8911003546
32,3283,1394,715,1514,11178,770,93.9786661349816,5,2,3,2,2,1,2,11276.3095174751
33,3311,1430,732,1533,11290,793,95.1500348918353,5,2,3,2,2,1,2,12001.9383622581
34,3339,1466,749,1553,11390,815,96.261589073871,5,2,3,2,2,1,2,12718.0726749751
35,3367,1502,766,1574,11478,836,97.3133286810886,5,2,3,2,2,1,2,13424.6067101815
36,3394,1539,783,1595,11557,856,98.3152228092912,5,2,3,2,2,1,2,14120.1593989273
37,3420,1575,800,1616,11627,875,99.2573023626757,5,2,3,2,2,1,2,14804.4233494851
38,3445,1611,817,1638,11689,893,100,5,2,3,2,2,1,2,15476.9733461587
39,3469,1647,836,1660,11744,910,100,5,2,3,2,2,1,2,16137.069589556
40,3492,1740,855,1682,11792,943,100,5,2,4,2,2,1,3,16780.1406672687
41,3514,1775,874,1704,11831,958,100,5,2,4,2,2,1,3,17410.7303845822
