Year,Biomass1,Biomass2,Biomass3,Biomass4,Biomass5,Biomass6,PctShade,ShadeClass,NumCohorts1,NumCohorts2,NumCohorts3,NumCohorts4,NumCohorts5,NumCohorts6,DeadWoodyBio
0,187,299,204,133,501,87,0,0,1,1,1,1,1,1,0
1,353,319,212,271,569,146,9.32110457581497,0,1,1,1,1,1,1,0
2,584,337,219,466,645,220,12.3168178646197,0,1,1,1,1,1,1,0
3,868,354,225,702,729,294,15.8109859435749,1,1,1,1,1,1,1,0
4,1190,370,231,953,822,520,20.3668627255508,1,1,1,1,1,1,1,98.249148541481
5,1519,385,237,1134,926,536,23.6118034094308,1,1,1,1,1,1,1,291.657693695767
6,1852,401,244,1170,1042,536,26.1439537433955,1,1,1,1,1,1,1,486.898784591348
7,2164,417,252,1171,1172,536,28.4717376133985,1,1,1,1,1,1,1,694.993018471239
8,2417,434,261,1171,1320,536,30.6001395673412,1,1,1,1,1,1,1,958.238073669708
9,2593,452,271,1171,1491,536,32.4693450304057,1,1,1,1,1,1,1,1258.83745218528
10,2703,645,283,1248,1692,586,34.1790449606221,1,1,2,1,2,1,2,1575.22375144354
11,2737,669,298,1258,1920,590,37.2445419200479,1,1,2,1,2,1,2,1875.04379658747
12,2752,696,316,1268,2193,594,38.9741800418702,2,1,2,1,2,1,2,2151.95766778431
13,2756,726,333,1279,2521,598,40.9380919150633,2,1,2,1,2,1,2,2413.56347637842
14,2756,759,338,1290,2917,602,43.1761539228392,2,1,2,1,2,1,2,2642.67507598801
15,2756,798,343,1302,3394,606,45.8528561459476,2,1,2,1,2,1,2,2841.21107996442
16,2756,843,347,1314,3963,610,49.0130595155019,3,1,2,1,2,1,2,3010.373059427
17,2756,899,350,1326,4631,614,52.7165786063204,3,1,2,1,2,1,2,3151.47981933009
18,2756,971,352,1337,5391,618,56.9484597746984,3,1,2,1,2,1,2,3293.35426654588
19,2756,1022,353,1347,6215,622,61.3847074070382,3,1,2,1,2,1,2,3440.65808264484
20,2756,1137,354,1357,7228,626,65.6913567939388,4,1,3,1,2,2,2,3678.4190116128
21,2756,1154,356,1366,7982,629,70.9949157611405,4,1,3,1,2,2,2,4039.4779428081
22,2756,1173,361,1377,8643,633,74.4840992921942,4,1,3,1,2,2,2,4514.48305229018
23,2756,1194,370,1388,9199,642,77.5047353205064,4,1,3,1,2,2,2,5077.78122972765
24,2756,1217,381,1400,9660,659,80.1166384208952,4,1,3,1,2,2,2,5706.78766566042
25,2756,1243,392,1412,10044,683,82.3945768118832,4,1,3,1,2,2,2,6383.09551347411
26,2756,1272,403,1425,10368,711,84.4133187119928,4,1,3,1,2,2,2,7092.17311665875
27,2756,1304,415,1439,10643,741,86.2227096002393,4,1,3,1,2,2,2,7822.89990691134
28,2756,1338,427,1455,10881,772,87.8725949556375,4,1,3,1,2,2,2,8567.18909912493
29,2756,1374,439,1472,11089,804,89.3928820655967,5,1,3,1,2,2,2,9318.7780549781
30,2756,1481,451,1490,11273,836,90.8084936696242,5,1,4,1,2,2,2,10071.2093629388
31,2756,1519,463,1509,11433,867,92.4484099292194,5,1,4,1,2,2,2,10821.6533329527
32,2756,1558,475,1529,11577,897,93.6696241650882,5,1,4,1,2,2,2,11567.026613656
33,2756,1598,487,1549,11710,925,94.831023826139,5,1,4,1,2,2,2,12304.8826347004
34,2756,1639,499,1570,11832,952,95.9425780081747,5,1,4,1,2,2,2,13033.3798699129
35,2756,1680,512,1592,11945,978,97.0142558069983,5,1,4,1,2,2,2,13750.9596688703
36,2756,1721,525,1615,12049,1003,98.0410726747084,5,1,4,1,2,2,2,14456.2064139654
37,2756,1762,538,1638,12147,1026,99.0280131592065,5,1,4,1,2,2,2,15147.9361693924
38,2756,1803,551,1661,12239,1048,99.980061808394,5,1,4,1,2,2,2,15826.3180086816
39,2756,1844,564,1684,12326,1069,100,5,1,4,1,2,2,2,16490.4800112708
40,2756,1885,577,1707,12409,1089,100,5,1,4,1,2,2,2,17139.9175903513
